bnd_id,municipality,electricity demand (MWh/a_2017),VOLL (€/kWh),population,pop_employed,gross_wage(€/month),working_hours(h/a),net_wage(€/h),Total_Income(k€),Total_Tax_Collected(k€),SSC
07319,Worms,128646.959185879,11.346854933829901,83081,44863.0,3177.7163120567375,1634,14.669492311843609,1510854.0,251414.0,0.205
07320,Zweibrücken,53065.4577015212,11.998537578303619,34270,22059.0,3160.0132743362833,1650,14.608563985949802,595374.0,94870.0,0.205
07331,Alzey-Worms,199005.531320158,10.761395020800766,128519,46127.0,3393.627962085308,1613,15.66077737240794,2760479.0,482254.0,0.205
07332,Bad Dürkheim,205539.999703596,11.37478377628225,132739,48480.0,3587.793956043956,1595,16.382689849039252,3141807.0,590886.0,0.205
07333,Donnersbergkreis,116291.858894066,11.35291447301094,75102,31060.0,3393.2547770700635,1622,15.928526199955634,1408237.0,226028.0,0.205
07334,Germersheim,198940.496326768,11.6656105002395,128477,59096.0,3493.7022471910113,1639,15.933782489831176,2737191.0,471022.0,0.205
07335,Kaiserslautern,163592.42896726,10.627030213918923,105649,34944.0,3302.909638554217,1603,15.742192855850801,1967988.0,311573.0,0.205
07336,Kusel,109574.673148248,10.934817358917256,70764,20291.0,3315.228096676737,1561,16.531217920903547,1201536.0,175840.0,0.205
07337,Südliche Weinstraße,171292.881875042,10.93529995511052,110622,45452.0,3355.4426934097423,1625,15.386677551369436,2376057.0,413517.0,0.205
07338,Rhein-Pfalz-Kreis,237887.166653837,11.84211380490026,153629,44846.0,3824.976439790576,1569,17.87614756625067,3671635.0,675345.0,0.205
07339,Mainz-Bingen,324842.049720269,11.580747420154577,209785,79772.0,3692.8442906574396,1616,16.608453372609958,5212426.0,986925.0,0.205
07340,Südwestpfalz,147836.927592502,9.95158144908824,95474,23942.0,3234.1391437308866,1590,15.619716175187756,1758041.0,272625.0,0.205
08111,Stuttgart,979772.305294241,15.244220915635996,632743,529705.0,4013.875,1673,16.729988348725428,16336873.0,3494553.0,0.205
08115,Böblingen,603196.466784715,14.038650843741678,389548,230020.0,4056.4145673603507,1651,17.669931460071485,10140271.0,1984254.0,0.205
08116,Esslingen,824468.741079716,12.868722199981745,532447,286686.0,3802.2407161803712,1646,16.718357692587073,13347555.0,2561150.0,0.205
08117,Göppingen,396937.985249386,11.667670184932376,256345,121653.0,3506.293991416309,1643,15.799214708187586,5592668.0,995826.0,0.205
08118,Ludwigsburg,840236.630072264,12.480910642958012,542630,263879.0,3862.2003916449084,1651,16.810411645187994,13993538.0,2745000.0,0.205
08119,Rems-Murr-Kreis,657903.283843214,12.28998154974386,424878,204568.0,3682.4097502014506,1632,16.505765762849155,10296829.0,1909068.0,0.205
08121,Heilbronn,193731.503046701,12.461886705468727,125113,97302.0,3319.6176470588234,1646,14.010653360812537,4323075.0,934128.0,0.205
08125,Heilbronn,527669.161128182,11.862446783806629,340772,176746.0,3591.771262309758,1666,15.713062321203985,8245757.0,1547237.0,0.205
08126,Hohenlohekreis,172485.190087186,12.177436958352764,111392,70806.0,3482.7936660268715,1684,15.06470938035221,2647325.0,497678.0,0.205
08127,Schwäbisch Hall,300714.067172703,11.698098903700389,194203,110351.0,3312.7072599531616,1654,14.947401898770247,4260796.0,737444.0,0.205
08128,Main-Tauber-Kreis,204688.350980636,11.772947714197093,132189,77282.0,3205.133956386293,1642,14.829709790888264,2676508.0,433303.0,0.205
08135,Heidenheim,204404.984223724,11.995949345972958,132006,67404.0,3442.815573770492,1635,15.815348763174159,2694806.0,455705.0,0.205
08136,Ostalbkreis,483770.540590157,12.83193835061003,312422,171302.0,3659.7897460018817,1638,16.52162594309501,7076652.0,1265229.0,0.205
08211,Baden-Baden,84728.2087689477,12.992697646748427,54718,42102.0,3386.5778443113772,1620,14.553660796503419,1393082.0,299295.0,0.205
08212,Karlsruhe,482991.669121704,14.221062692521446,311919,239915.0,3691.214285714286,1651,16.091736698493463,6810166.0,1329410.0,0.205
08215,Karlsruhe,685457.991161526,11.864740400604811,442673,211975.0,3496.677370030581,1624,15.921994202318693,10112195.0,1807702.0,0.205
08216,Rastatt,356478.477099895,12.200925664236873,230216,117817.0,3570.2856315179606,1651,16.15642808510019,5099173.0,879104.0,0.205
08221,Heidelberg,248682.975556522,15.100415254777023,160601,122749.0,4023.6164383561645,1608,16.898851952009554,3689012.0,856630.0,0.205
08222,Mannheim,476918.639500888,14.092471999026221,307997,240885.0,3571.980044345898,1649,15.820183895585341,6194316.0,1154534.0,0.205
08225,Neckar-Odenwald-Kreis,222010.886005641,11.349548199062903,143376,66794.0,3295.2881355932204,1632,15.405045663401097,2829794.0,450553.0,0.205
08226,Rhein-Neckar-Kreis,846608.510972227,11.754609099889844,546745,237305.0,3610.700250312891,1618,16.236004846333284,12797447.0,2414924.0,0.205
08231,Pforzheim,192455.578414484,11.310260006112223,124289,76737.0,3056.450184501845,1635,13.926771939657169,2324286.0,404831.0,0.205
08235,Calw,243763.542842261,11.160808574251476,157424,66294.0,3425.1428571428573,1636,15.645979387106536,3455555.0,595158.0,0.205
08236,Enzkreis,307164.919136068,11.166623888061588,198369,84029.0,3533.21484375,1650,15.69752646606987,4678788.0,861406.0,0.205
08237,Freudenstadt,181875.004370875,11.92997315885457,117456,63084.0,3422.195095948827,1645,15.507341205137967,2630331.0,457205.0,0.205
08311,Freiburg im Breisgau,355580.374810229,13.885723324631478,229636,175047.0,3397.3118195956454,1590,15.468633788568825,4776020.0,915569.0,0.205
08315,Breisgau-Hochschwarzwald,406321.605724181,10.85149557172938,262405,119892.0,3244.9209039548023,1624,14.781715738858917,5917330.0,1056307.0,0.205
08316,Emmendingen,255048.662647592,11.235272677893327,164712,75202.0,3276.628818061089,1612,15.249326832687036,3549876.0,602829.0,0.205
08317,Ortenaukreis,659535.35248685,11.751030236746708,425932,244741.0,3264.7441860465115,1642,14.896403112757254,9006574.0,1537023.0,0.205
08325,Rottweil,215014.978859581,12.157880870379678,138858,77722.0,3425.085406301824,1637,15.53414058419323,3138310.0,553270.0,0.205
08326,Schwarzwald-Baar-Kreis,327043.948782177,11.582012425747534,211207,120287.0,3285.8125,1653,14.782060600148597,4553497.0,798213.0,0.205
08327,Tuttlingen,215849.594608082,12.414974798796848,139397,87622.0,3385.5077279752704,1637,15.191961619356427,3245208.0,593388.0,0.205
08335,Konstanz,439783.658275388,11.602955042284549,284015,146686.0,3311.9497950819673,1604,15.087728897713781,6473873.0,1204631.0,0.205
08336,Lörrach,353533.320970678,10.879098338018778,228314,108865.0,3281.6103351955308,1617,14.586664159200277,5786612.0,1134408.0,0.205
08337,Waldshut,263543.471546061,10.476527223851276,170198,78853.0,3096.980582524272,1615,14.167622361297962,3810498.0,683327.0,0.205
08415,Reutlingen,442476.416692165,12.434888316888479,285754,156706.0,3555.313508064516,1634,15.9888777773397,6521553.0,1191059.0,0.205
08416,Tübingen,349570.831730579,13.299458853651558,225755,115018.0,3744.515748031496,1577,17.22577613367548,5171834.0,984966.0,0.205
08417,Zollernalbkreis,291372.254907944,11.219641915241814,188170,93682.0,3295.279005524862,1638,14.93223473363252,4119558.0,726952.0,0.205
08421,Ulm,194479.405470682,15.511390395019713,125596,125312.0,3591.9893617021276,1636,15.46853225442648,3260177.0,677773.0,0.205
08425,Alb-Donau-Kreis,301373.707819941,11.078094166985965,194629,80091.0,3494.4622641509436,1656,15.73700993362238,4400887.0,763681.0,0.205
08426,Biberach,307003.880104818,12.834173920904059,198265,113520.0,3637.8891001267425,1653,16.34846844367021,4623104.0,813478.0,0.205
08435,Bodenseekreis,332383.012049024,12.914285021827915,214655,124002.0,3700.6445086705203,1645,16.3548824460595,5376865.0,1017112.0,0.205
08436,Ravensburg,438620.770655492,12.049665240476367,283264,164090.0,3366.591720779221,1638,15.210083156264742,6332527.0,1129091.0,0.205
08437,Sigmaringen,201596.09189018,11.553471770114527,130192,69477.0,3282.004424778761,1649,15.071032718183535,2673439.0,438390.0,0.205
09161,Ingolstadt,209418.872523622,16.569130311355337,135244,126548.0,4034.346153846154,1665,17.213470297927635,3520027.0,714534.0,0.205
09162,München,2254606.82714518,14.009316596179437,1456039,1104722.0,4005.1843631496768,1676,16.07614163205528,48004378.0,11252289.0,0.205
09163,Rosenheim,97676.3662623858,12.76299198686332,63080,50139.0,3121.405923344948,1626,14.121059831411596,1394230.0,253758.0,0.205
09171,Altötting,170853.12144355,12.116740258968203,110338,62547.0,3335.1796657381615,1626,15.356633451011902,2379753.0,407172.0,0.205
09172,Berchtesgadener Land,162668.002989793,10.220210742059782,105052,54780.0,2942.445107398568,1653,13.456086131266543,2044295.0,337423.0,0.205
